Gene,Panel
NBEA,PANCAN
NCOA1,PANCAN
NCOA2,PANCAN
NCOR1,PANCAN
NCOR2,PANCAN
NEFH,PANCAN
NF1,PANCAN
NF2,PANCAN
NFATC2,PANCAN
NFE2L2,PANCAN
NFKB2,PANCAN
NFKBIA,PANCAN
NFKBIE,PANCAN
NIN,PANCAN
NIPBL,PANCAN
NKTR,PANCAN
NKX2-1,PANCAN
NONO,PANCAN
NOTCH1,PANCAN
NOTCH2,PANCAN
NPEPPS,PANCAN
NPM1,PANCAN
NPRL2,PANCAN
NRAS,PANCAN
NRG1,PANCAN
NRK,PANCAN
NRP1,PANCAN
NSD1,PANCAN
NSD2,PANCAN
NT5C3A,PANCAN
NTRK1,PANCAN
NTRK3,PANCAN
NUMA1,PANCAN
NUP214,PANCAN
NXF1,PANCAN
P2RY8,PANCAN
PABPC1,PANCAN
PAK2,PANCAN
PARP4,PANCAN
PBRM1,PANCAN
PCBP1,PANCAN
PCDH17,PANCAN
PCMTD1,PANCAN
PDCD1LG2,PANCAN
PDE4DIP,PANCAN
PDGFRA,PANCAN
PDGFRB,PANCAN
PDPR,PANCAN
PEG3,PANCAN
PHF6,PANCAN
PIK3CA,PANCAN
PIK3CB,PANCAN
PIK3R1,PANCAN
PIM1,PANCAN
PLAG1,PANCAN
PLCB4,PANCAN
PLCG1,PANCAN
PML,PANCAN
PMS2,PANCAN
POLD1,PANCAN
POLE,PANCAN
POLQ,PANCAN
POT1,PANCAN
POU2F2,PANCAN
PPM1D,PANCAN
PPP2R1A,PANCAN
PPP3CA,PANCAN
PPP6C,PANCAN
PPT2,PANCAN
PRDM1,PANCAN
PRDM2,PANCAN
PREX2,PANCAN
PRF1,PANCAN
PRKAR1A,PANCAN
PRKCB,PANCAN
PRKCD,PANCAN
PRKD2,PANCAN
PRR14,PANCAN
PRRX1,PANCAN
PSIP1,PANCAN
PTCH1,PANCAN
PTEN,PANCAN
PTMA,PANCAN
PTPN11,PANCAN
PTPN13,PANCAN
PTPN14,PANCAN
PTPN6,PANCAN
PTPRB,PANCAN
PTPRC,PANCAN
PTPRD,PANCAN
PTPRK,PANCAN
PTPRT,PANCAN
QKI,PANCAN
RABEP1,PANCAN
RAC1,PANCAN
RAD21,PANCAN
RAF1,PANCAN
RALGDS,PANCAN
RANBP2,PANCAN
RAP1GDS1,PANCAN
RARA,PANCAN
RASA1,PANCAN
RASA2,PANCAN
RB1,PANCAN
RBFOX1,PANCAN
RBFOX2,PANCAN
RBM10,PANCAN
RBM15,PANCAN
RBM38,PANCAN
RBM39,PANCAN
RECQL4,PANCAN
RELA,PANCAN
RET,PANCAN
RGL3,PANCAN
RGPD3,PANCAN
RGS7,PANCAN
RHOA,PANCAN
RHPN2,PANCAN
RIPK1,PANCAN
RNF213,PANCAN
RNF43,PANCAN
RNF6,PANCAN
RPL10,PANCAN
RPL22,PANCAN
RPS3A,PANCAN
RPS6KA3,PANCAN
RRAGC,PANCAN
RRAS2,PANCAN
RSPH10B2,PANCAN
RUNX1,PANCAN
RUNX1T1,PANCAN
RXRA,PANCAN
SALL4,PANCAN
SATB1,PANCAN
SDC4,PANCAN
SEPT9,PANCAN
SET,PANCAN
SETBP1,PANCAN
SETD1B,PANCAN
SETD2,PANCAN
SETDB1,PANCAN
SF3B1,PANCAN
SFMBT2,PANCAN
SGK1,PANCAN
SH2B3,PANCAN
SIN3A,PANCAN
SIRPA,PANCAN
SIX1,PANCAN
SLC45A3,PANCAN
SMAD2,PANCAN
SMAD3,PANCAN
SMAD4,PANCAN
SMARCA1,PANCAN
SMARCA4,PANCAN
SMARCB1,PANCAN
SMARCD1,PANCAN
SMC1A,PANCAN
SMO,PANCAN
SOCS1,PANCAN
SOHLH2,PANCAN
SOS1,PANCAN
SOX17,PANCAN
SOX21,PANCAN
SOX9,PANCAN
SP140,PANCAN
SPEN,PANCAN
SPOP,PANCAN
SRGAP3,PANCAN
SRSF2,PANCAN
STAG2,PANCAN
STAT3,PANCAN
STAT5B,PANCAN
STAT6,PANCAN
STIL,PANCAN
STK11,PANCAN
